RECORDID,submission
2019-020239STR,461c7c95-05b9-4ed2-a8d8-7120e9ede98f
2020-007919STR,446d0e9b-3409-4f3e-8b48-6f0216928ca0
2020-008683STR,04ef9b78-ded1-41f9-9701-249109f6fb5d
2020-008684STR,5049b779-669b-45af-84d0-5be9e2327afd
2020-008685STR,52f4c533-fce6-4ba1-8377-f87fd74bce54
2020-008686STR,025027c2-1823-4f27-8cb4-d8f4222394d3
2020-008687STR,f9ecefea-2134-4cac-b61e-e5ce4783bd5d
2020-008688STR,366c29f1-35aa-4159-9669-844fe66d6952
2020-008689STR,25695c39-8cd1-4f19-8eef-9231fdf04a81
2020-008690STR,2ec50996-4299-4fd0-8c51-73567ddd9f66
2020-008691STR,42faba02-c455-41e0-873a-e673b1d0920f
2020-008691STR,97a400ac-cbd2-4aae-b7e1-93c1bda0cae4
2020-008691STR,7cd36e60-76b9-4eb3-a720-d0816f4c3c93
2020-008692STR,7ddf8b2b-bc98-4631-be1f-62c361c8988c
2020-008693STR,78471e02-057a-43dd-9b9c-7b271d752484
2020-008693STR,2b41a547-c9e5-4cf7-a9c7-e5c2a5ac5fef
2020-008694STR,db19e04f-7df7-4ea5-a634-82fba1fcad27
2020-008695STR,2ed072cf-5e30-447d-a584-50bc867d372f
2020-008695STR,87148ac5-de36-4ae2-8f5a-c9bc09848d53
2020-008695STR,a57130f9-5656-46f5-ace9-b0a159e37c18
2020-008696STR,a438c3ac-ae99-42de-9a0e-fbf73daa9e7c
2020-008697STR,b96e504c-f95f-4476-860f-5a283de101a1
2020-008697STR,4d226a24-0a78-4536-814b-793bc76929d6
2020-008698STR,8c56abeb-b4aa-4458-bbb2-e4a186e76a1c
2020-008699STR,ea799983-cc81-4554-9737-0a5fc8731b89
2020-008700STR,74f1ba41-8a96-40f9-b8c3-766f889be993
2020-008700STR,68c8fd92-cc6e-4515-914d-2af6717e69de
